frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,1,red,12,E21
1,0,0,1,1,red,12,E21
2,0,0,1,1,red,12,E21
3,0,0,1,1,red,12,E21
4,0,0,1,1,red,12,E21
5,0,0,1,1,red,12,E21
6,0,0,1,1,red,12,E21
7,0,0,1,1,red,12,E21
8,0,0,1,1,red,12,E21
9,0,0,1,1,red,12,E21
10,0,0,1,1,red,12,E21
11,0,0,1,1,red,12,E21
12,0,0,1,1,red,12,E21
13,0,0,1,1,red,12,E21
14,0,0,1,1,red,12,E21
15,0,0,1,1,red,12,E21
16,0,0,1,1,red,12,E21
17,0,0,1,1,red,12,E21
18,0,0,1,1,red,12,E21
19,0,0,1,1,red,12,E21
20,0,0,1,1,red,12,E21
21,0,0,1,1,red,12,E21
22,0,0,1,1,red,12,E21
23,0,0,1,1,red,12,E21
24,0,0,1,1,red,12,E21
25,0,0,1,1,red,12,E21
26,0,0,1,1,red,12,E21
27,0,0,1,1,red,12,E21
28,0,0,1,1,red,12,E21
29,0,0,1,1,red,12,E21
30,0,0,1,1,red,12,E21
31,0,0,1,1,red,12,E21
32,0,0,1,1,red,12,E21
33,0,0,1,1,red,12,E21
34,0,0,1,1,red,12,E21
35,0,0,1,1,red,12,E21
36,0,0,1,1,red,12,E21
37,0,0,1,1,red,12,E21
38,0,0,1,1,red,12,E21
39,0,1,0,1,red,12,E21
40,0,1,0,1,red,12,E21
41,0,1,0,1,red,12,E21
42,0,1,0,1,red,12,E21
43,0,1,0,1,red,12,E21
44,0,1,0,1,red,12,E21
45,0,1,0,1,red,12,E21
46,0,1,0,1,red,12,E21
47,0,1,0,1,red,12,E21
48,0,1,0,1,red,12,E21
49,0,1,0,1,red,12,E21
50,0,1,0,1,red,12,E21
51,0,1,0,1,red,12,E21
52,0,1,0,1,red,12,E21
53,0,1,0,1,red,12,E21
54,0,1,0,1,red,12,E21
55,0,1,0,1,red,12,E21
56,0,1,0,1,red,12,E21
57,0,1,0,1,red,12,E21
58,0,1,0,1,red,12,E21
59,0,1,0,1,red,12,E21
60,0,1,0,1,red,12,E21
61,0,1,0,1,red,12,E21
62,0,1,0,1,red,12,E21
63,0,1,0,1,red,12,E21
64,0,1,0,1,red,12,E21
65,0,1,0,1,red,12,E21
66,0,1,0,1,red,12,E21
67,0,1,0,1,red,12,E21
68,0,1,0,1,red,12,E21
69,0,1,0,1,red,12,E21
70,0,1,0,1,red,12,E21
71,0,1,0,1,red,12,E21
72,0,1,0,1,red,12,E21
73,0,1,0,1,red,12,E21
74,0,1,0,1,red,12,E21
75,0,1,0,1,red,12,E21
76,0,1,0,1,red,12,E21
77,0,1,0,1,red,12,E21
78,0,1,0,1,red,12,E21
79,0,1,0,1,red,12,E21
80,0,1,0,1,red,12,E21
81,0,1,0,1,red,12,E21
82,0,1,0,1,red,12,E21
83,0,1,0,1,red,12,E21
84,0,1,0,1,red,12,E21
85,0,1,0,1,red,12,E21
86,0,1,0,1,red,12,E21
87,0,1,0,1,red,12,E21
88,0,1,0,1,red,12,E21
89,0,1,0,1,red,12,E21
90,0,1,0,1,red,12,E21
91,0,1,0,1,red,12,E21
92,0,1,0,1,red,12,E21
93,0,1,0,1,red,12,E21
94,0,1,0,1,red,12,E21
95,0,1,0,1,red,12,E21
96,0,1,0,1,red,12,E21
97,0,1,0,1,red,12,E21
98,0,1,0,1,red,12,E21
99,0,1,0,1,red,12,E21
100,0,1,0,1,red,12,E21
101,0,1,0,1,red,12,E21
102,0,1,0,1,red,12,E21
103,0,1,0,1,red,12,E21
104,0,1,0,1,red,12,E21
105,0,1,0,1,red,12,E21
106,0,1,0,1,red,12,E21
107,0,1,0,1,red,12,E21
108,0,1,0,1,red,12,E21
109,0,1,0,1,red,12,E21
110,0,1,0,1,red,12,E21
111,0,1,0,1,red,12,E21
112,0,1,0,1,red,12,E21
113,0,1,0,1,red,12,E21
114,0,1,0,1,red,12,E21
115,0,1,0,1,red,12,E21
116,0,1,0,1,red,12,E21
117,0,1,0,1,red,12,E21
118,0,1,0,1,red,12,E21
119,0,1,0,1,red,12,E21
120,0,1,0,1,red,12,E21
121,0,1,0,1,red,12,E21
122,0,1,0,1,red,12,E21
123,0,1,0,1,red,12,E21
124,0,1,0,1,red,12,E21
125,0,1,0,1,red,12,E21
126,0,1,0,1,red,12,E21
127,0,1,0,1,red,12,E21
128,0,1,0,1,red,12,E21
129,0,1,0,1,red,12,E21
130,0,1,0,1,red,12,E21
131,0,1,0,1,red,12,E21
132,0,1,0,1,red,12,E21
133,0,1,0,1,red,12,E21
134,0,1,0,1,red,12,E21
135,0,1,0,1,red,12,E21
136,0,1,0,1,red,12,E21
137,0,1,0,1,red,12,E21
138,0,1,0,1,red,12,E21
139,0,1,0,1,red,12,E21
140,0,1,0,1,red,12,E21
141,0,1,0,1,red,12,E21
142,0,1,0,1,red,12,E21
143,0,1,0,1,red,12,E21
144,0,1,0,1,red,12,E21
145,0,1,0,1,red,12,E21
146,0,1,0,1,red,12,E21
147,0,1,0,1,red,12,E21
148,0,1,0,1,red,12,E21
149,0,1,0,1,red,12,E21
150,0,1,0,1,red,12,E21
151,0,1,0,1,red,12,E21
152,0,1,0,1,red,12,E21
153,0,1,0,1,red,12,E21
154,0,1,0,1,red,12,E21
155,0,1,0,1,red,12,E21
156,0,1,0,1,red,12,E21
157,0,1,0,1,red,12,E21
158,0,1,0,1,red,12,E21
159,0,1,0,1,red,12,E21
160,0,1,0,1,red,12,E21
161,0,1,0,1,red,12,E21
162,0,1,0,1,red,12,E21
163,0,1,0,1,red,12,E21
164,0,1,0,1,red,12,E21
165,0,1,0,1,red,12,E21
166,0,1,0,1,red,12,E21
