frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,1,red,36,E17
1,0,0,1,1,red,36,E17
2,0,0,1,1,red,36,E17
3,0,0,1,1,red,36,E17
4,0,0,1,1,red,36,E17
5,0,0,1,1,red,36,E17
6,0,0,1,1,red,36,E17
7,0,0,1,1,red,36,E17
8,0,0,1,1,red,36,E17
9,0,0,1,1,red,36,E17
10,0,0,1,1,red,36,E17
11,0,0,1,1,red,36,E17
12,0,0,1,1,red,36,E17
13,0,0,1,1,red,36,E17
14,0,0,1,1,red,36,E17
15,0,0,1,1,red,36,E17
16,0,0,1,1,red,36,E17
17,0,0,1,1,red,36,E17
18,0,0,1,1,red,36,E17
19,0,0,1,1,red,36,E17
20,0,0,1,1,red,36,E17
21,0,0,1,1,red,36,E17
22,0,0,1,1,red,36,E17
23,0,0,1,1,red,36,E17
24,0,0,1,1,red,36,E17
25,0,0,1,1,red,36,E17
26,0,0,1,1,red,36,E17
27,0,0,1,1,red,36,E17
28,0,0,1,1,red,36,E17
29,0,0,1,1,red,36,E17
30,0,0,1,1,red,36,E17
31,0,0,1,1,red,36,E17
32,0,0,1,1,red,36,E17
33,0,0,1,1,red,36,E17
34,0,0,1,1,red,36,E17
35,0,0,1,1,red,36,E17
36,0,0,1,1,red,36,E17
37,0,0,1,1,red,36,E17
38,0,0,1,1,red,36,E17
39,0,0,1,1,red,36,E17
40,0,0,1,1,red,36,E17
41,0,0,1,1,red,36,E17
42,0,0,1,1,red,36,E17
43,0,0,1,1,red,36,E17
44,0,0,1,1,red,36,E17
45,0,0,1,1,red,36,E17
46,0,0,1,1,red,36,E17
47,0,0,1,1,red,36,E17
48,0,0,1,1,red,36,E17
49,0,0,1,1,red,36,E17
50,0,0,1,1,red,36,E17
51,0,0,1,1,red,36,E17
52,0,0,1,1,red,36,E17
53,0,0,1,1,red,36,E17
54,0,0,1,1,red,36,E17
55,1,0,0,1,red,36,E17
56,1,0,0,1,red,36,E17
57,1,0,0,1,red,36,E17
58,1,0,0,1,red,36,E17
59,1,0,0,1,red,36,E17
60,1,0,0,1,red,36,E17
61,1,0,0,1,red,36,E17
62,1,0,0,1,red,36,E17
63,1,0,0,1,red,36,E17
64,1,0,0,1,red,36,E17
65,1,0,0,1,red,36,E17
66,0,0,1,1,red,36,E17
67,0,0,1,1,red,36,E17
68,0,0,1,1,red,36,E17
69,0,0,1,1,red,36,E17
70,0,0,1,1,red,36,E17
71,0,0,1,1,red,36,E17
72,0,0,1,1,red,36,E17
73,0,0,1,1,red,36,E17
74,0,0,1,1,red,36,E17
75,0,0,1,1,red,36,E17
76,0,0,1,1,red,36,E17
77,0,0,1,1,red,36,E17
78,0,0,1,1,red,36,E17
79,0,0,1,1,red,36,E17
80,0,0,1,1,red,36,E17
81,0,0,1,1,red,36,E17
82,0,0,1,1,red,36,E17
83,0,0,1,1,red,36,E17
84,0,0,1,1,red,36,E17
85,0,0,1,1,red,36,E17
86,0,0,1,1,red,36,E17
87,0,0,1,1,red,36,E17
88,0,1,0,1,red,36,E17
89,0,1,0,1,red,36,E17
90,0,1,0,1,red,36,E17
91,0,1,0,1,red,36,E17
92,0,1,0,1,red,36,E17
93,0,1,0,1,red,36,E17
94,0,1,0,1,red,36,E17
95,0,1,0,1,red,36,E17
96,0,1,0,1,red,36,E17
97,0,1,0,1,red,36,E17
98,0,1,0,1,red,36,E17
99,0,1,0,1,red,36,E17
100,0,1,0,1,red,36,E17
101,0,1,0,1,red,36,E17
102,0,1,0,1,red,36,E17
103,0,1,0,1,red,36,E17
104,0,1,0,1,red,36,E17
105,0,1,0,1,red,36,E17
106,0,1,0,1,red,36,E17
107,0,1,0,1,red,36,E17
108,0,0,1,1,red,36,E17
109,0,0,1,1,red,36,E17
110,1,0,0,1,red,36,E17
111,1,0,0,1,red,36,E17
112,1,0,0,1,red,36,E17
113,1,0,0,1,red,36,E17
114,0,1,0,1,red,36,E17
115,0,1,0,1,red,36,E17
116,0,1,0,1,red,36,E17
117,0,1,0,1,red,36,E17
118,0,1,0,1,red,36,E17
119,0,1,0,1,red,36,E17
120,0,1,0,1,red,36,E17
121,0,0,1,1,red,36,E17
122,1,0,0,1,red,36,E17
123,1,0,0,1,red,36,E17
124,1,0,0,1,red,36,E17
125,1,0,0,1,red,36,E17
126,1,0,0,1,red,36,E17
127,1,0,0,1,red,36,E17
128,1,0,0,1,red,36,E17
129,1,0,0,1,red,36,E17
130,1,0,0,1,red,36,E17
131,1,0,0,1,red,36,E17
132,1,0,0,1,red,36,E17
133,1,0,0,1,red,36,E17
134,1,0,0,1,red,36,E17
135,1,0,0,1,red,36,E17
136,1,0,0,1,red,36,E17
137,1,0,0,1,red,36,E17
138,1,0,0,1,red,36,E17
139,1,0,0,1,red,36,E17
140,0,1,0,1,red,36,E17
141,0,1,0,1,red,36,E17
142,0,1,0,1,red,36,E17
143,0,1,0,1,red,36,E17
144,0,1,0,1,red,36,E17
145,0,1,0,1,red,36,E17
146,0,1,0,1,red,36,E17
147,0,1,0,1,red,36,E17
148,0,1,0,1,red,36,E17
149,0,1,0,1,red,36,E17
