frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,1,red,15,E22
1,0,0,1,1,red,15,E22
2,0,0,1,1,red,15,E22
3,0,0,1,1,red,15,E22
4,0,0,1,1,red,15,E22
5,0,0,1,1,red,15,E22
6,0,0,1,1,red,15,E22
7,0,0,1,1,red,15,E22
8,0,0,1,1,red,15,E22
9,0,0,1,1,red,15,E22
10,0,0,1,1,red,15,E22
11,0,0,1,1,red,15,E22
12,0,0,1,1,red,15,E22
13,0,0,1,1,red,15,E22
14,0,0,1,1,red,15,E22
15,0,0,1,1,red,15,E22
16,0,0,1,1,red,15,E22
17,0,0,1,1,red,15,E22
18,0,0,1,1,red,15,E22
19,0,0,1,1,red,15,E22
20,0,0,1,1,red,15,E22
21,0,0,1,1,red,15,E22
22,0,0,1,1,red,15,E22
23,0,0,1,1,red,15,E22
24,0,0,1,1,red,15,E22
25,0,0,1,1,red,15,E22
26,0,0,1,1,red,15,E22
27,0,0,1,1,red,15,E22
28,0,0,1,1,red,15,E22
29,0,0,1,1,red,15,E22
30,0,0,1,1,red,15,E22
31,0,1,0,1,red,15,E22
32,0,1,0,1,red,15,E22
33,0,1,0,1,red,15,E22
34,0,1,0,1,red,15,E22
35,0,1,0,1,red,15,E22
36,0,1,0,1,red,15,E22
37,0,1,0,1,red,15,E22
38,0,1,0,1,red,15,E22
39,0,1,0,1,red,15,E22
40,0,1,0,1,red,15,E22
41,0,1,0,1,red,15,E22
42,0,1,0,1,red,15,E22
43,0,1,0,1,red,15,E22
44,0,1,0,1,red,15,E22
45,0,1,0,1,red,15,E22
46,0,1,0,1,red,15,E22
47,0,1,0,1,red,15,E22
48,0,1,0,1,red,15,E22
49,0,1,0,1,red,15,E22
50,0,1,0,1,red,15,E22
51,0,1,0,1,red,15,E22
52,0,1,0,1,red,15,E22
53,0,1,0,1,red,15,E22
54,0,1,0,1,red,15,E22
55,0,1,0,1,red,15,E22
56,0,1,0,1,red,15,E22
57,0,1,0,1,red,15,E22
58,0,1,0,1,red,15,E22
59,0,1,0,1,red,15,E22
60,0,1,0,1,red,15,E22
61,0,1,0,1,red,15,E22
62,0,1,0,1,red,15,E22
63,0,1,0,1,red,15,E22
64,0,1,0,1,red,15,E22
65,0,1,0,1,red,15,E22
66,0,1,0,1,red,15,E22
