frame,red,green,uncertain,session_id,rg_outcome,trial_id,global_trial_name
0,0,0,1,1,green,28,E41
1,0,0,1,1,green,28,E41
2,0,0,1,1,green,28,E41
3,0,0,1,1,green,28,E41
4,0,0,1,1,green,28,E41
5,0,0,1,1,green,28,E41
6,0,0,1,1,green,28,E41
7,0,0,1,1,green,28,E41
8,0,0,1,1,green,28,E41
9,0,0,1,1,green,28,E41
10,0,0,1,1,green,28,E41
11,0,0,1,1,green,28,E41
12,0,0,1,1,green,28,E41
13,0,0,1,1,green,28,E41
14,0,0,1,1,green,28,E41
15,0,0,1,1,green,28,E41
16,0,0,1,1,green,28,E41
17,0,0,1,1,green,28,E41
18,0,0,1,1,green,28,E41
19,0,0,1,1,green,28,E41
20,0,0,1,1,green,28,E41
21,0,0,1,1,green,28,E41
22,0,0,1,1,green,28,E41
23,0,0,1,1,green,28,E41
24,0,0,1,1,green,28,E41
25,0,0,1,1,green,28,E41
26,0,0,1,1,green,28,E41
27,0,0,1,1,green,28,E41
28,0,0,1,1,green,28,E41
29,0,0,1,1,green,28,E41
30,0,0,1,1,green,28,E41
31,0,0,1,1,green,28,E41
32,0,0,1,1,green,28,E41
33,0,0,1,1,green,28,E41
34,0,0,1,1,green,28,E41
35,0,0,1,1,green,28,E41
36,0,0,1,1,green,28,E41
37,0,0,1,1,green,28,E41
38,0,0,1,1,green,28,E41
39,0,0,1,1,green,28,E41
40,0,0,1,1,green,28,E41
41,0,0,1,1,green,28,E41
42,0,0,1,1,green,28,E41
43,0,0,1,1,green,28,E41
44,0,0,1,1,green,28,E41
45,0,0,1,1,green,28,E41
46,0,0,1,1,green,28,E41
47,0,0,1,1,green,28,E41
48,0,0,1,1,green,28,E41
49,0,0,1,1,green,28,E41
50,0,0,1,1,green,28,E41
51,0,0,1,1,green,28,E41
52,0,0,1,1,green,28,E41
53,0,0,1,1,green,28,E41
54,0,0,1,1,green,28,E41
55,0,0,1,1,green,28,E41
56,0,0,1,1,green,28,E41
57,0,1,0,1,green,28,E41
58,0,1,0,1,green,28,E41
